"datetime","GPP","R","NEP"
2009-07-02 00:10:00,-1.68611882098368e-07,-0.00175910137135268,-0.00175926998323478
2009-07-02 00:20:00,-1.68611882098368e-07,-0.00175910137135268,-0.00175926998323478
2009-07-02 00:30:00,0,-0.00175910137135268,-0.00175910137135268
2009-07-02 00:40:00,-1.68611882098368e-07,-0.00175910137135268,-0.00175926998323478
2009-07-02 00:50:00,-1.68611882098368e-07,-0.00175710595735935,-0.00175727456924144
2009-07-02 01:00:00,-1.68611882098368e-07,-0.00175910137135268,-0.00175926998323478
2009-07-02 01:10:00,-1.68611882098368e-07,-0.00175910137135268,-0.00175926998323478
2009-07-02 01:20:00,-1.68611882098368e-07,-0.00175910137135268,-0.00175926998323478
2009-07-02 01:30:00,-1.68611882098368e-07,-0.00175910137135268,-0.00175926998323478
2009-07-02 01:40:00,-1.68611882098368e-07,-0.00175710595735935,-0.00175727456924144
2009-07-02 01:50:00,0,-0.00175710595735935,-0.00175710595735935
2009-07-02 02:00:00,0,-0.00175710595735935,-0.00175710595735935
2009-07-02 02:10:00,-3.3724970448629e-07,-0.00175710595735935,-0.00175744320706383
2009-07-02 02:20:00,0,-0.00175710595735935,-0.00175710595735935
2009-07-02 02:30:00,-1.68611882098368e-07,-0.00175710595735935,-0.00175727456924144
2009-07-02 02:40:00,0,-0.00175710595735935,-0.00175710595735935
2009-07-02 02:50:00,-1.68611882098368e-07,-0.00175710595735935,-0.00175727456924144
2009-07-02 03:00:00,0,-0.00175476963645447,-0.00175476963645447
2009-07-02 03:10:00,-3.37223764196736e-07,-0.00175710595735935,-0.00175744318112354
2009-07-02 03:20:00,-3.37223764196736e-07,-0.00175710595735935,-0.00175744318112354
2009-07-02 03:30:00,0,-0.00175710595735935,-0.00175710595735935
2009-07-02 03:40:00,0,-0.00175710595735935,-0.00175710595735935
2009-07-02 03:50:00,0,-0.00175476963645447,-0.00175476963645447
2009-07-02 04:00:00,3.37223764196736e-07,-0.00175476963645447,-0.00175443241269028
2009-07-02 04:10:00,1.68617070156279e-06,-0.00175476963645447,-0.00175308346575291
2009-07-02 04:20:00,5.05835646295104e-06,-0.00175476963645447,-0.00174971127999152
2009-07-02 04:30:00,1.09600317392895e-05,-0.00175476963645447,-0.00174380960471518
2009-07-02 04:40:00,2.09083921859887e-05,-0.00175476963645447,-0.00173386124426848
2009-07-02 04:50:00,2.51239486413434e-05,-0.00175476963645447,-0.00172964568781313
2009-07-02 05:00:00,3.91205506757767e-05,-0.00175275987884525,-0.00171363932816948
2009-07-02 05:10:00,5.6490168560864e-05,-0.00175476963645447,-0.00169827946789361
2009-07-02 05:20:00,7.4529045916434e-05,-0.00175275987884525,-0.00167823083292882
2009-07-02 05:30:00,9.34135767114512e-05,-0.00175275987884525,-0.0016593463021338
2009-07-02 05:40:00,0.000123761121460202,-0.00175275987884525,-0.00162899875738505
2009-07-02 05:50:00,0.000151418658182245,-0.00175275987884525,-0.00160134122066301
2009-07-02 06:00:00,0.000175696175175455,-0.00175275987884525,-0.0015770637036698
2009-07-02 06:10:00,0.000277379516196592,-0.00175275987884525,-0.00147538036264866
2009-07-02 06:20:00,0.000335226361901109,-0.00175275987884525,-0.00141753351694415
2009-07-02 06:30:00,0.000497430992479739,-0.00175275987884525,-0.00125532888636552
2009-07-02 06:40:00,0.000429804657613517,-0.00175275987884525,-0.00132295522123174
2009-07-02 06:50:00,0.000428611404294051,-0.00175275987884525,-0.0013241484745512
2009-07-02 07:00:00,0.000537379038392276,-0.00175275987884525,-0.00121538084045298
2009-07-02 07:10:00,0.000408559560469122,-0.00175275987884525,-0.00134420031837613
2009-07-02 07:20:00,0.000473462164932217,-0.00175275987884525,-0.00127929771391304
2009-07-02 07:30:00,0.000600958688088137,-0.0017507434313232,-0.00114978474323506
2009-07-02 07:40:00,0.000689466956045004,-0.0017507434313232,-0.0010612764752782
2009-07-02 07:50:00,0.000642229688767907,-0.00175275987884525,-0.00111053019007735
2009-07-02 08:00:00,0.000651646013875862,-0.00175275987884525,-0.00110111386496939
2009-07-02 08:10:00,0.000821710552189231,-0.0017507434313232,-0.000929032879133969
2009-07-02 08:20:00,0.000689181612859914,-0.0017507434313232,-0.00106156181846329
2009-07-02 08:30:00,0.00067890925819669,-0.0017507434313232,-0.00107183417312651
2009-07-02 08:40:00,0.000839894695166301,-0.0017507434313232,-0.000910848736156899
2009-07-02 08:50:00,0.00101522511225905,-0.0017507434313232,-0.00073551831906415
2009-07-02 09:00:00,0.00141473151167397,-0.00175275987884525,-0.000338028367171287
2009-07-02 09:10:00,0.00124199512353658,-0.00175275987884525,-0.000510764755308676
2009-07-02 09:20:00,0.00125493932802382,-0.00175275987884525,-0.000497820550821432
2009-07-02 09:30:00,0.00123903793052747,-0.00175275987884525,-0.000513721948317786
2009-07-02 09:40:00,0.00147078847739929,-0.00175275987884525,-0.000281971401445968
2009-07-02 09:50:00,0.00153844075255506,-0.00175275987884525,-0.000214319126290192
2009-07-02 10:00:00,0.00141906354002942,-0.00175275987884525,-0.000333696338815836
2009-07-02 10:10:00,0.00136474457370419,-0.00175275987884525,-0.000388015305141064
2009-07-02 10:20:00,0.00135444627875141,-0.00175275987884525,-0.000398313600093842
2009-07-02 10:30:00,0.00146243570416303,-0.00175275987884525,-0.000290324174682225
2009-07-02 10:40:00,0.00122329217476844,-0.00175275987884525,-0.000529467704076818
2009-07-02 10:50:00,0.00122178763797433,-0.00175275987884525,-0.000530972240870927
2009-07-02 11:00:00,0.00159278565916984,-0.00175275987884525,-0.00015997421967541
2009-07-02 11:10:00,0.00217413348835546,-0.00175275987884525,0.000421373609510209
2009-07-02 11:20:00,0.00192733757354256,-0.00175476963645447,0.000172567937088087
2009-07-02 11:30:00,0.00200456181554361,-0.00175476963645447,0.00024979217908914
2009-07-02 11:40:00,0.00257462561877342,-0.00175476963645447,0.000819855982318945
2009-07-02 11:50:00,0.00230871171055952,-0.00175476963645447,0.000553942074105042
2009-07-02 12:00:00,0.00226923058985894,-0.00175476963645447,0.00051446095340447
2009-07-02 12:10:00,0.00236572846699832,-0.00175710595735935,0.000608622509638972
2009-07-02 12:20:00,0.00222370538169238,-0.00175710595735935,0.000466599424333039
2009-07-02 12:30:00,0.00209073545744066,-0.00175710595735935,0.000333629500081311
2009-07-02 12:40:00,0.00257641549875262,-0.00175910137135268,0.00081731412739994
2009-07-02 12:50:00,0.00238635099719343,-0.00175910137135268,0.000627249625840748
2009-07-02 13:00:00,0.00262697312309257,-0.00175910137135268,0.000867871751739896
